metric,value
ollama_quant_tag:q4_k_l,1
ollama_quant_tag:q5_k_m,1
ollama_quant_tag:q6_k,1
ollama_quant_tag:270m,1
ollama_quant_tag:14b-medium-4k-instruct-q5_K_M,1
ollama_quant_tag:3B,1
ollama_quant_tag:Q8_0,1
ollama_quant_tag:72b-instruct-q4_K_M,1
ollama_quant_tag:70b-instruct-q4_K_M,1
ollama_quant_tag:8b-q4_K_,1
ollama_quant_tag:7b-instruct-q4_0,1
ollama_quant_tag:e2b,1
ollama_quant_tag:instruct,1
ollama_quant_tag:4b-it-q8_0,1
ollama_quant_tag:q4_K_M,1
ollama_quant_tag:27b,1
ollama_quant_tag:14b-q4_K_M,1
ollama_quant_tag:120b-cloud,1
ollama_quant_tag:33b,1
ollama_quant_tag:8b-32k,1
ollama_quant_tag:smartweights,1
ollama_quant_tag:0.36b-f16,1
ollama_quant_tag:14b32ft,1
ollama_quant_tag:tag,1
ollama_quant_tag:v1.0,1
ollama_quant_tag:q4km,1
ollama_quant_tag:7b-chat,1
ollama_quant_tag:3b.,1
ollama_quant_tag:1.7b,1
ollama_quant_tag:30m,1
ollama_quant_tag:medium,1
---,---
gguf_quant_tag:Q4_K_M,36
gguf_quant_tag:F16,25
gguf_quant_tag:Q8_0,10
gguf_quant_tag:BF16,8
gguf_quant_tag:Q5_K_M,5
gguf_quant_tag:Q4_0,4
gguf_quant_tag:Q4_K,2
gguf_quant_tag:Q4,2
gguf_quant_tag:IQ2_,2
gguf_quant_tag:F32,2
gguf_quant_tag:IQ2_XXS,1
gguf_quant_tag:IQ4_XS,1
gguf_quant_tag:Q8R16,1
gguf_quant_tag:Q4_K_S,1
gguf_quant_tag:IQ2_XS,1
gguf_quant_tag:IQ2_S,1
gguf_quant_tag:Q6,1
