year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,1.0
2010,0.0,0.0,0.0,0.0,0.0
2012,1.0,0.0,0.0,0.0,0.0
2013,0.5,0.0,0.0,0.0,0.5
2014,0.4,0.2,0.0,0.2,0.2
2015,0.8889,0.0,0.0,0.1111,0.0
2016,0.8333,0.0833,0.0,0.0,0.0833
2017,0.5455,0.0909,0.1818,0.1818,0.0
2018,0.65,0.1,0.1,0.0,0.15
2019,0.5714,0.0952,0.0,0.1429,0.1905
2020,0.4722,0.0833,0.1389,0.0278,0.2778
2021,0.5122,0.0732,0.1707,0.0976,0.1463
2022,0.4286,0.0857,0.1,0.0857,0.3
2023,0.4323,0.0873,0.155,0.0939,0.2314
2024,0.3991,0.1268,0.1499,0.147,0.1772
2025,0.3613,0.1165,0.1718,0.1066,0.2438
2026,0.6083,0.0458,0.0708,0.0708,0.2042
