year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0,0,0,0,1
2010,1,0,0,0,0
2012,1,0,0,0,0
2013,2,0,0,0,3
2014,6,1,0,1,1
2015,11,0,0,1,0
2016,16,1,0,0,1
2017,8,1,2,3,0
2018,15,2,2,0,4
2019,14,3,0,3,4
2020,20,5,5,2,11
2021,30,4,7,5,10
2022,46,7,10,6,35
2023,259,53,126,52,144
2024,486,201,194,144,178
2025,785,266,247,180,418
2026,315,34,21,29,93
