year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,0.0017
2010,0.0,0.0,0.0,0.0,0.0
2012,0.0009,0.0,0.0,0.0,0.0
2013,0.0018,0.0,0.0,0.0,0.0035
2014,0.0018,0.0036,0.0,0.0035,0.0017
2015,0.0072,0.0,0.0,0.0035,0.0
2016,0.009,0.0036,0.0,0.0,0.0017
2017,0.0054,0.0036,0.0051,0.0069,0.0
2018,0.0117,0.0072,0.0051,0.0,0.0052
2019,0.0108,0.0072,0.0,0.0104,0.007
2020,0.0153,0.0109,0.0129,0.0035,0.0174
2021,0.0189,0.0109,0.018,0.0139,0.0105
2022,0.0271,0.0217,0.018,0.0208,0.0366
2023,0.1785,0.1449,0.1825,0.1493,0.1847
2024,0.2498,0.3188,0.2674,0.3542,0.2143
2025,0.33,0.4275,0.4473,0.375,0.4303
2026,0.1317,0.0399,0.0437,0.059,0.0854
