year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,0.0011
2010,0.0005,0.0,0.0,0.0,0.0
2012,0.0005,0.0,0.0,0.0,0.0
2013,0.001,0.0,0.0,0.0,0.0033
2014,0.003,0.0017,0.0,0.0023,0.0011
2015,0.0055,0.0,0.0,0.0023,0.0
2016,0.0079,0.0017,0.0,0.0,0.0011
2017,0.004,0.0017,0.0033,0.007,0.0
2018,0.0074,0.0035,0.0033,0.0,0.0044
2019,0.0069,0.0052,0.0,0.007,0.0044
2020,0.0099,0.0087,0.0081,0.0047,0.0122
2021,0.0149,0.0069,0.0114,0.0117,0.0111
2022,0.0228,0.0121,0.0163,0.0141,0.0388
2023,0.1285,0.0917,0.2052,0.1221,0.1595
2024,0.2412,0.3478,0.316,0.338,0.1971
2025,0.3896,0.4602,0.4023,0.4225,0.4629
2026,0.1563,0.0588,0.0342,0.0681,0.103
