year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,1.0
2010,1.0,0.0,0.0,0.0,0.0
2012,1.0,0.0,0.0,0.0,0.0
2013,0.4,0.0,0.0,0.0,0.6
2014,0.6667,0.1111,0.0,0.1111,0.1111
2015,0.9167,0.0,0.0,0.0833,0.0
2016,0.8889,0.0556,0.0,0.0,0.0556
2017,0.5714,0.0714,0.1429,0.2143,0.0
2018,0.6522,0.087,0.087,0.0,0.1739
2019,0.5833,0.125,0.0,0.125,0.1667
2020,0.4651,0.1163,0.1163,0.0465,0.2558
2021,0.5357,0.0714,0.125,0.0893,0.1786
2022,0.4423,0.0673,0.0962,0.0577,0.3365
2023,0.4085,0.0836,0.1987,0.082,0.2271
2024,0.404,0.1671,0.1613,0.1197,0.148
2025,0.414,0.1403,0.1303,0.0949,0.2205
2026,0.6402,0.0691,0.0427,0.0589,0.189
