year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0,0,0,0,1
2010,0,0,0,0,0
2012,1,0,0,0,0
2013,2,0,0,0,2
2014,2,1,0,1,1
2015,7,0,0,1,0
2016,10,1,0,0,1
2017,4,1,2,2,0
2018,12,2,2,0,3
2019,9,0,0,2,4
2020,17,3,5,1,10
2021,16,2,5,4,6
2022,26,3,7,4,18
2023,175,34,60,34,98
2024,217,63,79,79,108
2025,256,85,143,86,197
2026,96,8,15,16,41
