year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0,0,0,0,1
2010,0,0,0,0,0
2012,1,0,0,0,0
2013,2,0,0,0,2
2014,2,1,0,1,1
2015,8,0,0,1,0
2016,10,1,0,0,1
2017,6,1,2,2,0
2018,13,2,2,0,3
2019,12,2,0,3,4
2020,17,3,5,1,10
2021,21,3,7,4,6
2022,30,6,7,6,21
2023,198,40,71,43,106
2024,277,88,104,102,123
2025,366,118,174,108,247
2026,146,11,17,17,49
