year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0,0,0,0,1
2010,1,0,0,0,0
2012,1,0,0,0,1
2013,4,0,0,0,3
2014,7,4,0,1,1
2015,13,6,0,1,2
2016,19,4,0,0,1
2017,13,5,4,4,2
2018,21,8,3,1,5
2019,26,18,1,3,6
2020,41,32,7,4,16
2021,60,26,21,8,14
2022,91,54,15,9,76
2023,674,256,577,162,464
2024,2371,1244,937,534,861
2025,4049,1886,971,682,1658
2026,1580,331,143,146,514
